N = 1, комбинаций: 3
N = 8, комбинаций: 3
N = 27, комбинаций: 3
N = 64, комбинаций: 3
N = 125, комбинаций: 3
N = 216, комбинаций: 9
N = 343, комбинаций: 3
N = 512, комбинаций: 3
N = 729, комбинаций: 9
N = 1000, комбинаций: 3
N = 1331, комбинаций: 3
N = 1728, комбинаций: 9
N = 2197, комбинаций: 3
N = 2744, комбинаций: 3
N = 3375, комбинаций: 3
N = 4096, комбинаций: 3
N = 4913, комбинаций: 3
N = 5832, комбинаций: 15
N = 6859, комбинаций: 9
N = 8000, комбинаций: 9
N = 9261, комбинаций: 3
N = 10648, комбинаций: 3
N = 12167, комбинаций: 3
N = 13824, комбинаций: 9
N = 15625, комбинаций: 9
N = 17576, комбинаций: 3
N = 19683, комбинаций: 9
N = 21952, комбинаций: 9
N = 24389, комбинаций: 9
N = 27000, комбинаций: 9
N = 29791, комбинаций: 3
N = 32768, комбинаций: 3
N = 35937, комбинаций: 3
N = 39304, комбинаций: 3
N = 42875, комбинаций: 3
N = 46656, комбинаций: 15
N = 2, комбинаций: 3
N = 9, комбинаций: 6
N = 28, комбинаций: 6
N = 65, комбинаций: 6
N = 126, комбинаций: 6
N = 217, комбинаций: 6
N = 344, комбинаций: 9
N = 513, комбинаций: 6
N = 730, комбинаций: 6
N = 1001, комбинаций: 6
N = 1332, комбинаций: 6
N = 1729, комбинаций: 12
N = 2198, комбинаций: 6
N = 2745, комбинаций: 6
N = 3376, комбинаций: 6
N = 4097, комбинаций: 6
N = 4914, комбинаций: 6
N = 5833, комбинаций: 6
N = 6860, комбинаций: 6
N = 8001, комбинаций: 6
N = 9262, комбинаций: 6
N = 10649, комбинаций: 6
N = 12168, комбинаций: 6
N = 13825, комбинаций: 6
N = 15626, комбинаций: 6
N = 17577, комбинаций: 6
N = 19684, комбинаций: 6
N = 21953, комбинаций: 6
N = 24390, комбинаций: 6
N = 27001, комбинаций: 6
N = 29792, комбинаций: 12
N = 32769, комбинаций: 6
N = 35938, комбинаций: 6
N = 39305, комбинаций: 12
N = 42876, комбинаций: 6
N = 46657, комбинаций: 6
N = 16, комбинаций: 3
N = 35, комбинаций: 6
N = 72, комбинаций: 6
N = 133, комбинаций: 6
N = 224, комбинаций: 6
N = 351, комбинаций: 6
N = 520, комбинаций: 6
N = 737, комбинаций: 6
N = 1008, комбинаций: 6
N = 1339, комбинаций: 6
N = 1736, комбинаций: 6
N = 2205, комбинаций: 6
N = 2752, комбинаций: 9
N = 3383, комбинаций: 6
N = 4104, комбинаций: 12
N = 4921, комбинаций: 6
N = 5840, комбинаций: 6
N = 6867, комбинаций: 12
N = 8008, комбинаций: 6
N = 9269, комбинаций: 6
N = 10656, комбинаций: 12
N = 12175, комбинаций: 6
N = 13832, комбинаций: 12
N = 15633, комбинаций: 6
N = 17584, комбинаций: 6
N = 19691, комбинаций: 6
N = 21960, комбинаций: 6
N = 24397, комбинаций: 6
N = 27008, комбинаций: 6
N = 29799, комбинаций: 12
N = 32776, комбинаций: 6
N = 35945, комбинаций: 12
N = 39312, комбинаций: 12
N = 42883, комбинаций: 6
N = 46664, комбинаций: 6
N = 54, комбинаций: 3
N = 91, комбинаций: 6
N = 152, комбинаций: 6
N = 243, комбинаций: 6
N = 370, комбинаций: 6
N = 539, комбинаций: 6
N = 756, комбинаций: 6
N = 1027, комбинаций: 6
N = 1358, комбинаций: 6
N = 1755, комбинаций: 6
N = 2224, комбинаций: 6
N = 2771, комбинаций: 6
N = 3402, комбинаций: 12
N = 4123, комбинаций: 6
N = 4940, комбинаций: 6
N = 5859, комбинаций: 6
N = 6886, комбинаций: 6
N = 8027, комбинаций: 6
N = 9288, комбинаций: 15
N = 10675, комбинаций: 6
N = 12194, комбинаций: 6
N = 13851, комбинаций: 6
N = 15652, комбинаций: 6
N = 17603, комбинаций: 12
N = 19710, комбинаций: 6
N = 21979, комбинаций: 6
N = 24416, комбинаций: 18
N = 27027, комбинаций: 6
N = 29818, комбинаций: 6
N = 32795, комбинаций: 6
N = 35964, комбинаций: 6
N = 39331, комбинаций: 6
N = 42902, комбинаций: 6
N = 46683, комбинаций: 12
N = 128, комбинаций: 3
N = 189, комбинаций: 6
N = 280, комбинаций: 6
N = 407, комбинаций: 6
N = 576, комбинаций: 6
N = 793, комбинаций: 6
N = 1064, комбинаций: 6
